accident_id,accident_date,state,road_type,cause,weather,light_condition,vehicle_type,severity,casualties,fatalities,speed_kmph
ACC00034,2020-11-08 00:00,Uttar Pradesh,State Highway,Distracted Driving,Rainy,Dawn/Dusk,Two-Wheeler,Serious,0,0,4.1
ACC00035,2021-05-18 16:00,Uttar Pradesh,National Highway,Signal Jumping,Hazy,Daylight,Truck,Minor,1,1,90.0
ACC00036,2019-06-18 03:00,Odisha,Urban Road,Drunk Driving,Rainy,Night - Street Lit,Pedestrian,Minor,4,2,100.9
ACC00037,2018-03-10 20:00,Gujarat,State Highway,Drunk Driving,Foggy,Night - Street Lit,Car,Fatal,3,0,82.3
ACC00038,2020-06-12 03:00,Tamil Nadu,Expressway,Drunk Driving,Clear,Daylight,Two-Wheeler,Minor,2,1,86.2
ACC00039,2023-02-12 16:00,Bihar,Rural Road,Distracted Driving,Foggy,Daylight,Car,Fatal,0,0,45.1
ACC00040,2019-10-02 08:00,Madhya Pradesh,Expressway,Vehicle Failure,Rainy,Night - No Light,Auto-Rickshaw,Fatal,1,0,32.1
ACC00041,2023-07-22 12:00,Rajasthan,Expressway,Poor Road Condition,Hazy,Night - Street Lit,Car,Fatal,1,0,62.8
ACC00042,2018-09-14 14:00,Madhya Pradesh,Rural Road,Vehicle Failure,Rainy,Night - Street Lit,Two-Wheeler,Minor,0,0,91.2
ACC00043,2019-07-05 00:00,Odisha,National Highway,Signal Jumping,Clear,Night - No Light,Pedestrian,Minor,1,0,62.9
ACC00044,2023-01-28 08:00,Karnataka,Rural Road,Signal Jumping,Windy,Daylight,Pedestrian,Serious,3,2,85.6
ACC00045,2018-08-02 10:00,Karnataka,National Highway,Signal Jumping,Hazy,Dawn/Dusk,Two-Wheeler,Minor,3,1,37.9
ACC00046,2019-01-06 00:00,Odisha,Expressway,Wrong Side Driving,Clear,Daylight,Pedestrian,Serious,1,0,10.9
ACC00047,2023-12-23 21:00,Tamil Nadu,Expressway,Wrong Side Driving,Hazy,Night - No Light,Pedestrian,Fatal,2,1,20.0
ACC00048,2018-06-13 20:00,Madhya Pradesh,Urban Road,Over Speeding,Clear,Night - Street Lit,Two-Wheeler,Serious,3,3,98.2
ACC00049,2023-06-22 17:00,Madhya Pradesh,Urban Road,Poor Road Condition,Windy,Daylight,Auto-Rickshaw,Fatal,4,2,100.7
ACC00050,2018-05-20 08:00,Odisha,Expressway,Over Speeding,Foggy,Dawn/Dusk,Pedestrian,Serious,1,1,102.4
ACC00051,2019-06-19 04:00,Madhya Pradesh,Rural Road,Wrong Side Driving,Foggy,Night - Street Lit,Truck,Fatal,1,1,31.7
ACC00052,2022-05-03 18:00,Maharashtra,National Highway,Wrong Side Driving,Hazy,Daylight,Bus,Fatal,1,0,32.5
ACC00053,2022-04-05 15:00,Rajasthan,Expressway,Over Speeding,Hazy,Night - Street Lit,Car,Fatal,2,1,92.9
ACC00054,2020-02-04 20:00,Bihar,Expressway,Wrong Side Driving,Rainy,Daylight,Auto-Rickshaw,Minor,3,2,27.4
ACC00055,2022-11-01 21:00,Maharashtra,Urban Road,Wrong Side Driving,Clear,Dawn/Dusk,Bus,Fatal,0,0,3.0
ACC00056,2020-09-06 06:00,West Bengal,Rural Road,Poor Road Condition,Hazy,Night - Street Lit,Two-Wheeler,Fatal,1,0,4.3
ACC00057,2023-01-20 01:00,Uttar Pradesh,State Highway,Over Speeding,Foggy,Dawn/Dusk,Pedestrian,Serious,0,0,40.0
ACC00058,2023-04-08 18:00,Uttar Pradesh,National Highway,Vehicle Failure,Hazy,Dawn/Dusk,Two-Wheeler,Minor,4,2,6.3
ACC00059,2018-06-05 20:00,Rajasthan,State Highway,Wrong Side Driving,Clear,Night - Street Lit,Auto-Rickshaw,Minor,0,0,81.9
ACC00060,2021-10-18 00:00,Maharashtra,Expressway,Wrong Side Driving,Rainy,Night - No Light,Car,Minor,4,0,65.3
ACC00061,2021-06-20 08:00,West Bengal,Urban Road,Drunk Driving,Foggy,Daylight,Pedestrian,Fatal,5,1,10.5
ACC00062,2022-03-07 16:00,Uttar Pradesh,State Highway,Poor Road Condition,Clear,Dawn/Dusk,Two-Wheeler,Minor,0,0,42.1
ACC00063,2022-03-13 01:00,Gujarat,National Highway,Vehicle Failure,Hazy,Night - Street Lit,Bus,Minor,0,0,82.9
ACC00064,2023-08-05 08:00,Odisha,Expressway,Wrong Side Driving,Foggy,Night - No Light,Truck,Fatal,2,0,81.2
ACC00065,2018-12-20 11:00,Uttar Pradesh,Expressway,Vehicle Failure,Hazy,Daylight,Car,Minor,1,1,41.0
ACC00066,2021-06-01 16:00,Madhya Pradesh,Urban Road,Wrong Side Driving,Clear,Night - Street Lit,Truck,Minor,1,1,110.9
ACC00067,2022-06-24 06:00,Odisha,State Highway,Bad Weather,Windy,Night - No Light,Auto-Rickshaw,Serious,3,1,51.5
ACC00068,2018-11-14 19:00,Gujarat,Urban Road,Over Speeding,Hazy,Dawn/Dusk,Bus,Fatal,0,0,98.8
ACC00069,2023-12-13 14:00,Odisha,State Highway,Bad Weather,Foggy,Night - Street Lit,Truck,Serious,0,0,87.3
ACC00070,2018-06-13 08:00,Odisha,National Highway,Bad Weather,Clear,Daylight,Auto-Rickshaw,Serious,4,0,115.0
ACC00071,2023-11-23 23:00,Madhya Pradesh,Expressway,Over Speeding,Hazy,Night - No Light,Two-Wheeler,Fatal,3,0,67.4
ACC00072,2022-07-20 00:00,Rajasthan,Expressway,Distracted Driving,Rainy,Dawn/Dusk,Bus,Fatal,0,0,102.6
ACC00073,2018-05-01 15:00,Karnataka,Urban Road,Bad Weather,Rainy,Dawn/Dusk,Auto-Rickshaw,Serious,3,0,33.0
ACC00074,2021-04-01 14:00,Tamil Nadu,National Highway,Drunk Driving,Hazy,Night - Street Lit,Truck,Fatal,3,0,12.0
ACC00075,2019-10-08 15:00,Maharashtra,National Highway,Poor Road Condition,Rainy,Dawn/Dusk,Auto-Rickshaw,Fatal,3,0,21.3
ACC00076,2019-09-18 15:00,Rajasthan,National Highway,Over Speeding,Foggy,Daylight,Car,Fatal,3,2,77.5
ACC00077,2021-06-26 04:00,Bihar,State Highway,Vehicle Failure,Foggy,Daylight,Pedestrian,Fatal,5,2,34.0
ACC00078,2023-12-20 01:00,Rajasthan,State Highway,Drunk Driving,Foggy,Night - Street Lit,Two-Wheeler,Fatal,5,2,19.3
ACC00079,2020-01-21 04:00,Tamil Nadu,National Highway,Wrong Side Driving,Windy,Night - Street Lit,Car,Serious,0,0,89.7
ACC00080,2021-06-06 01:00,Uttar Pradesh,Urban Road,Vehicle Failure,Foggy,Night - Street Lit,Car,Minor,1,0,29.3
ACC00081,2021-08-15 02:00,Maharashtra,Expressway,Wrong Side Driving,Windy,Daylight,Auto-Rickshaw,Fatal,0,0,60.5
ACC00082,2022-11-01 21:00,Bihar,Urban Road,Signal Jumping,Windy,Daylight,Truck,Fatal,3,1,9.2
ACC00083,2022-02-03 05:00,Gujarat,State Highway,Poor Road Condition,Hazy,Daylight,Truck,Fatal,2,0,101.5
ACC00084,2021-06-04 06:00,Bihar,State Highway,Poor Road Condition,Rainy,Night - Street Lit,Car,Fatal,5,1,19.8
ACC00085,2018-12-11 09:00,Maharashtra,National Highway,Poor Road Condition,Clear,Night - Street Lit,Truck,Minor,2,1,21.0
ACC00086,2023-11-17 10:00,Odisha,National Highway,Vehicle Failure,Windy,Daylight,Auto-Rickshaw,Minor,1,0,4.2
ACC00087,2020-12-07 20:00,Karnataka,Rural Road,Drunk Driving,Hazy,Dawn/Dusk,Car,Fatal,1,1,60.6
ACC00088,2019-03-07 00:00,Uttar Pradesh,State Highway,Poor Road Condition,Clear,Daylight,Truck,Serious,3,2,18.8
ACC00089,2018-02-09 08:00,Gujarat,Rural Road,Wrong Side Driving,Windy,Daylight,Pedestrian,Minor,4,1,93.6
ACC00090,2021-05-26 23:00,Rajasthan,State Highway,Signal Jumping,Clear,Dawn/Dusk,Pedestrian,Minor,2,0,91.9
ACC00091,2019-05-20 16:00,West Bengal,National Highway,Drunk Driving,Hazy,Daylight,Two-Wheeler,Serious,1,1,107.4
ACC00092,2022-07-01 13:00,Odisha,Urban Road,Poor Road Condition,Hazy,Night - Street Lit,Two-Wheeler,Fatal,1,0,48.4
ACC00093,2021-01-27 01:00,Gujarat,Expressway,Wrong Side Driving,Foggy,Night - No Light,Bus,Minor,2,0,103.3
ACC00094,2023-10-15 10:00,Gujarat,Rural Road,Poor Road Condition,Clear,Night - Street Lit,Two-Wheeler,Fatal,0,0,107.6
ACC00095,2019-08-25 10:00,Rajasthan,National Highway,Vehicle Failure,Clear,Night - No Light,Car,Fatal,0,0,39.5
ACC00096,2023-11-22 18:00,Uttar Pradesh,Rural Road,Distracted Driving,Rainy,Night - Street Lit,Car,Fatal,2,0,109.8
ACC00097,2019-05-05 22:00,Madhya Pradesh,Expressway,Vehicle Failure,Foggy,Night - No Light,Car,Minor,1,0,57.4
ACC00098,2021-05-21 07:00,Gujarat,Rural Road,Wrong Side Driving,Hazy,Daylight,Two-Wheeler,Fatal,3,0,48.5
ACC00099,2020-04-16 00:00,Uttar Pradesh,Rural Road,Distracted Driving,Rainy,Night - Street Lit,Two-Wheeler,Minor,1,0,80.2
ACC00100,2023-05-13 21:00,Madhya Pradesh,State Highway,Bad Weather,Foggy,Dawn/Dusk,Two-Wheeler,Fatal,1,1,77.4
ACC00101,2018-08-16 11:00,Bihar,State Highway,Wrong Side Driving,Foggy,Night - No Light,Two-Wheeler,Serious,3,1,39.3
ACC00102,2023-05-07 09:00,Maharashtra,State Highway,Poor Road Condition,Clear,Night - Street Lit,Car,Serious,3,1,113.1
ACC00103,2021-06-17 18:00,Tamil Nadu,State Highway,Poor Road Condition,Rainy,Night - Street Lit,Bus,Serious,0,0,52.8
ACC00104,2023-10-23 00:00,Tamil Nadu,Urban Road,Vehicle Failure,Clear,Night - No Light,Two-Wheeler,Fatal,2,1,0.4
ACC00105,2022-09-21 06:00,Odisha,National Highway,Wrong Side Driving,Hazy,Daylight,Pedestrian,Fatal,1,0,59.9
ACC00106,2023-04-14 03:00,Odisha,Expressway,Vehicle Failure,Clear,Night - Street Lit,Bus,Serious,0,0,28.6
ACC00107,2023-05-25 04:00,Uttar Pradesh,Rural Road,Poor Road Condition,Windy,Dawn/Dusk,Pedestrian,Minor,3,0,105.5
ACC00108,2021-08-27 03:00,West Bengal,Expressway,Over Speeding,Clear,Night - No Light,Auto-Rickshaw,Serious,3,0,80.4
ACC00109,2021-11-22 05:00,Odisha,National Highway,Distracted Driving,Rainy,Night - Street Lit,Two-Wheeler,Serious,4,0,30.2
ACC00110,2019-11-12 11:00,Bihar,State Highway,Wrong Side Driving,Foggy,Night - Street Lit,Pedestrian,Serious,0,0,98.9
ACC00111,2020-03-18 12:00,Gujarat,Urban Road,Vehicle Failure,Windy,Night - Street Lit,Bus,Serious,3,0,73.2
ACC00112,2021-01-06 12:00,Rajasthan,Expressway,Wrong Side Driving,Clear,Night - Street Lit,Two-Wheeler,Fatal,3,0,84.0
ACC00113,2020-03-22 11:00,Karnataka,Urban Road,Wrong Side Driving,Windy,Night - No Light,Truck,Fatal,0,0,41.8
ACC00114,2020-06-03 01:00,Rajasthan,Rural Road,Over Speeding,Foggy,Night - Street Lit,Bus,Serious,1,1,96.9
ACC00115,2021-06-13 08:00,Karnataka,National Highway,Wrong Side Driving,Foggy,Daylight,Two-Wheeler,Fatal,5,3,65.9
ACC00116,2020-04-11 16:00,West Bengal,Expressway,Wrong Side Driving,Clear,Daylight,Two-Wheeler,Fatal,0,0,108.1
ACC00117,2021-01-23 13:00,West Bengal,National Highway,Wrong Side Driving,Clear,Night - No Light,Two-Wheeler,Fatal,0,0,37.0
ACC00118,2023-12-15 06:00,Tamil Nadu,Rural Road,Drunk Driving,Windy,Daylight,Two-Wheeler,Minor,4,0,98.2
ACC00119,2019-06-15 07:00,Bihar,Urban Road,Signal Jumping,Foggy,Dawn/Dusk,Truck,Minor,0,0,113.5
ACC00120,2022-08-14 02:00,Karnataka,State Highway,Signal Jumping,Clear,Daylight,Car,Serious,4,2,91.0
ACC00121,2019-12-01 16:00,Bihar,Rural Road,Over Speeding,Windy,Daylight,Pedestrian,Serious,5,1,94.1
ACC00122,2018-05-04 10:00,Karnataka,Urban Road,Vehicle Failure,Hazy,Night - No Light,Auto-Rickshaw,Minor,1,0,20.6
ACC00123,2023-03-11 21:00,Maharashtra,State Highway,Vehicle Failure,Hazy,Daylight,Car,Minor,0,0,54.4
ACC00124,2019-05-03 15:00,Karnataka,National Highway,Distracted Driving,Clear,Night - No Light,Bus,Serious,3,1,109.1
ACC00125,2021-11-26 16:00,Tamil Nadu,State Highway,Vehicle Failure,Foggy,Daylight,Pedestrian,Serious,1,1,68.8
ACC00126,2020-06-16 05:00,Odisha,State Highway,Wrong Side Driving,Hazy,Night - Street Lit,Two-Wheeler,Serious,2,1,62.7
ACC00127,2023-02-26 12:00,Odisha,Urban Road,Wrong Side Driving,Hazy,Dawn/Dusk,Truck,Minor,2,0,50.8
ACC00128,2020-05-15 07:00,Maharashtra,National Highway,Bad Weather,Foggy,Dawn/Dusk,Bus,Minor,3,1,40.7
ACC00129,2018-07-04 16:00,Madhya Pradesh,Expressway,Over Speeding,Clear,Dawn/Dusk,Bus,Serious,2,2,40.8
ACC00130,2018-04-08 02:00,Bihar,State Highway,Over Speeding,Rainy,Night - No Light,Bus,Minor,1,0,27.7
ACC00131,2020-02-02 06:00,Rajasthan,National Highway,Distracted Driving,Clear,Daylight,Two-Wheeler,Fatal,1,0,30.9
ACC00132,2018-11-03 15:00,Madhya Pradesh,State Highway,Vehicle Failure,Foggy,Daylight,Truck,Minor,3,0,24.5
ACC00133,2021-10-05 02:00,Karnataka,National Highway,Distracted Driving,Rainy,Dawn/Dusk,Auto-Rickshaw,Serious,4,1,54.1
ACC00134,2023-01-20 21:00,Uttar Pradesh,National Highway,Vehicle Failure,Hazy,Daylight,Two-Wheeler,Fatal,0,0,81.9
ACC00135,2023-12-02 12:00,Uttar Pradesh,National Highway,Wrong Side Driving,Hazy,Daylight,Car,Serious,1,0,41.5
ACC00136,2021-02-09 05:00,Maharashtra,Expressway,Bad Weather,Clear,Night - No Light,Truck,Fatal,2,0,64.3
ACC00137,2021-03-08 15:00,Maharashtra,Urban Road,Signal Jumping,Clear,Dawn/Dusk,Bus,Minor,1,1,90.8
ACC00138,2021-09-26 10:00,Madhya Pradesh,State Highway,Bad Weather,Clear,Daylight,Truck,Minor,3,3,113.3
ACC00139,2020-04-14 08:00,Gujarat,Rural Road,Distracted Driving,Clear,Night - Street Lit,Auto-Rickshaw,Serious,1,1,50.0
ACC00140,2019-11-04 21:00,Madhya Pradesh,Rural Road,Vehicle Failure,Clear,Night - Street Lit,Auto-Rickshaw,Serious,4,1,100.3
ACC00141,2019-03-26 00:00,West Bengal,Expressway,Poor Road Condition,Clear,Daylight,Bus,Serious,2,0,17.6
ACC00142,2020-05-08 23:00,West Bengal,Expressway,Drunk Driving,Foggy,Night - Street Lit,Car,Minor,4,2,113.3
ACC00143,2020-12-22 02:00,Bihar,Urban Road,Drunk Driving,Rainy,Daylight,Pedestrian,Fatal,1,1,23.7
ACC00144,2023-07-14 10:00,Odisha,Rural Road,Distracted Driving,Windy,Night - Street Lit,Bus,Minor,3,1,62.4
ACC00145,2023-08-26 03:00,Odisha,Rural Road,Signal Jumping,Foggy,Night - No Light,Two-Wheeler,Minor,2,1,15.4
ACC00146,2021-10-07 18:00,Uttar Pradesh,National Highway,Signal Jumping,Foggy,Dawn/Dusk,Bus,Serious,0,0,15.6
ACC00147,2022-09-26 04:00,Maharashtra,State Highway,Signal Jumping,Rainy,Night - Street Lit,Car,Fatal,4,0,62.0
ACC00148,2022-10-09 21:00,Bihar,Rural Road,Signal Jumping,Rainy,Dawn/Dusk,Truck,Minor,0,0,19.3
ACC00149,2023-09-03 18:00,Uttar Pradesh,Urban Road,Vehicle Failure,Hazy,Dawn/Dusk,Truck,Serious,1,0,102.3
ACC00150,2022-01-21 07:00,Rajasthan,Rural Road,Over Speeding,Windy,Daylight,Auto-Rickshaw,Fatal,2,1,31.9
ACC00151,2022-12-04 01:00,Gujarat,Expressway,Vehicle Failure,Rainy,Night - Street Lit,Car,Minor,6,2,115.1
ACC00152,2018-03-10 03:00,Gujarat,National Highway,Bad Weather,Windy,Night - No Light,Pedestrian,Minor,1,0,96.6
ACC00153,2023-09-19 21:00,Uttar Pradesh,Rural Road,Signal Jumping,Windy,Daylight,Car,Fatal,0,0,17.9
ACC00154,2018-12-10 18:00,Bihar,Rural Road,Signal Jumping,Hazy,Night - Street Lit,Bus,Minor,2,1,78.0
ACC00155,2022-06-07 23:00,Gujarat,Expressway,Over Speeding,Clear,Night - No Light,Truck,Serious,4,1,45.1
ACC00156,2019-03-24 03:00,Rajasthan,Expressway,Wrong Side Driving,Rainy,Night - Street Lit,Pedestrian,Fatal,3,0,114.4
ACC00157,2020-05-20 05:00,Rajasthan,Rural Road,Bad Weather,Clear,Night - Street Lit,Auto-Rickshaw,Serious,4,1,54.0
ACC00158,2019-03-22 06:00,Maharashtra,Rural Road,Bad Weather,Rainy,Daylight,Truck,Serious,5,1,48.7
ACC00159,2018-07-01 21:00,Uttar Pradesh,Rural Road,Drunk Driving,Hazy,Dawn/Dusk,Auto-Rickshaw,Fatal,3,0,22.6
ACC00160,2020-12-17 15:00,Odisha,National Highway,Signal Jumping,Foggy,Dawn/Dusk,Car,Serious,2,1,53.4
ACC00161,2019-01-16 14:00,Madhya Pradesh,Expressway,Over Speeding,Windy,Night - Street Lit,Two-Wheeler,Minor,0,0,33.2
ACC00162,2022-07-24 23:00,Uttar Pradesh,Expressway,Signal Jumping,Clear,Daylight,Auto-Rickshaw,Minor,4,3,72.6
ACC00163,2022-09-23 21:00,Bihar,Urban Road,Signal Jumping,Hazy,Dawn/Dusk,Car,Serious,1,0,40.4
ACC00164,2022-12-24 02:00,Madhya Pradesh,Expressway,Wrong Side Driving,Clear,Night - Street Lit,Bus,Serious,0,0,58.0
ACC00165,2019-04-24 19:00,Madhya Pradesh,Expressway,Wrong Side Driving,Windy,Night - Street Lit,Truck,Minor,2,1,67.0
ACC00166,2021-06-06 12:00,Gujarat,Urban Road,Distracted Driving,Rainy,Daylight,Bus,Serious,2,2,45.7
ACC00167,2019-03-04 22:00,Bihar,Expressway,Over Speeding,Hazy,Night - Street Lit,Car,Minor,2,0,45.7
ACC00168,2023-06-14 01:00,Maharashtra,State Highway,Bad Weather,Foggy,Night - Street Lit,Truck,Fatal,2,1,21.9
ACC00169,2018-03-05 18:00,Bihar,Expressway,Over Speeding,Rainy,Night - Street Lit,Truck,Serious,2,1,8.5
ACC00170,2019-08-16 03:00,Madhya Pradesh,Rural Road,Distracted Driving,Foggy,Night - No Light,Two-Wheeler,Serious,4,0,8.2
ACC00171,2019-05-03 08:00,Maharashtra,Urban Road,Distracted Driving,Foggy,Night - Street Lit,Car,Minor,0,0,58.4
ACC00172,2020-08-12 10:00,Rajasthan,Rural Road,Drunk Driving,Foggy,Dawn/Dusk,Two-Wheeler,Minor,0,0,4.7
ACC00173,2023-06-22 08:00,Tamil Nadu,State Highway,Wrong Side Driving,Foggy,Daylight,Bus,Minor,1,0,77.9
ACC00174,2022-07-09 17:00,Karnataka,Expressway,Signal Jumping,Clear,Daylight,Bus,Serious,0,0,57.1
ACC00175,2022-01-09 03:00,Bihar,Rural Road,Wrong Side Driving,Windy,Daylight,Auto-Rickshaw,Minor,1,1,60.6
ACC00176,2022-06-01 21:00,Uttar Pradesh,State Highway,Distracted Driving,Clear,Dawn/Dusk,Bus,Minor,0,0,83.2
ACC00177,2018-08-04 18:00,Tamil Nadu,National Highway,Poor Road Condition,Hazy,Daylight,Two-Wheeler,Serious,0,0,102.5
ACC00178,2019-04-12 04:00,Bihar,Rural Road,Vehicle Failure,Foggy,Dawn/Dusk,Bus,Fatal,3,0,66.4
ACC00179,2020-03-10 20:00,Karnataka,Rural Road,Distracted Driving,Clear,Dawn/Dusk,Bus,Serious,1,0,19.1
ACC00180,2019-05-10 07:00,Uttar Pradesh,National Highway,Signal Jumping,Foggy,Night - No Light,Bus,Fatal,4,2,63.7
ACC00181,2020-10-08 15:00,Gujarat,Rural Road,Over Speeding,Hazy,Night - Street Lit,Auto-Rickshaw,Minor,1,0,119.8
ACC00182,2021-10-14 06:00,Karnataka,State Highway,Signal Jumping,Foggy,Night - No Light,Auto-Rickshaw,Fatal,2,1,39.8
ACC00183,2021-03-27 09:00,West Bengal,National Highway,Distracted Driving,Foggy,Dawn/Dusk,Truck,Minor,2,1,100.6
ACC00184,2022-04-23 22:00,West Bengal,State Highway,Drunk Driving,Foggy,Night - Street Lit,Two-Wheeler,Minor,1,0,55.4
ACC00185,2022-11-05 22:00,West Bengal,National Highway,Poor Road Condition,Rainy,Night - Street Lit,Bus,Fatal,1,0,65.6
ACC00186,2023-01-05 21:00,Rajasthan,Expressway,Bad Weather,Windy,Dawn/Dusk,Pedestrian,Minor,0,0,62.6
ACC00187,2023-12-18 23:00,Gujarat,Rural Road,Wrong Side Driving,Rainy,Dawn/Dusk,Car,Fatal,4,2,52.1
ACC00188,2019-11-18 11:00,West Bengal,Rural Road,Vehicle Failure,Rainy,Daylight,Two-Wheeler,Minor,0,0,112.7
ACC00189,2023-09-24 14:00,Karnataka,Urban Road,Poor Road Condition,Foggy,Dawn/Dusk,Auto-Rickshaw,Fatal,1,0,61.4
ACC00190,2022-02-09 12:00,Odisha,Expressway,Wrong Side Driving,Hazy,Dawn/Dusk,Truck,Serious,0,0,109.2
ACC00191,2020-08-23 03:00,Tamil Nadu,Rural Road,Over Speeding,Windy,Night - Street Lit,Bus,Fatal,1,0,1.2
ACC00192,2019-12-14 23:00,Maharashtra,Expressway,Poor Road Condition,Clear,Dawn/Dusk,Two-Wheeler,Minor,3,0,12.5
ACC00193,2019-06-26 04:00,Bihar,State Highway,Distracted Driving,Clear,Daylight,Two-Wheeler,Minor,2,1,61.1
ACC00194,2023-07-17 13:00,Rajasthan,Expressway,Drunk Driving,Windy,Night - Street Lit,Two-Wheeler,Serious,1,0,96.7
ACC00195,2021-11-28 13:00,Uttar Pradesh,Rural Road,Bad Weather,Windy,Night - No Light,Auto-Rickshaw,Fatal,6,2,41.0
ACC00196,2019-12-21 11:00,Karnataka,Expressway,Poor Road Condition,Hazy,Dawn/Dusk,Car,Fatal,1,0,12.6
ACC00197,2022-04-23 20:00,Uttar Pradesh,Rural Road,Poor Road Condition,Hazy,Night - Street Lit,Auto-Rickshaw,Fatal,0,0,46.4
ACC00198,2022-11-17 13:00,Maharashtra,Rural Road,Drunk Driving,Hazy,Night - No Light,Bus,Minor,5,3,95.5
ACC00199,2019-05-07 07:00,Gujarat,State Highway,Drunk Driving,Windy,Night - No Light,Truck,Serious,0,0,79.5
ACC00200,2019-05-28 15:00,Rajasthan,Urban Road,Poor Road Condition,Hazy,Daylight,Car,Serious,1,1,62.5
ACC00201,2018-06-22 04:00,Gujarat,Urban Road,Over Speeding,Clear,Dawn/Dusk,Two-Wheeler,Serious,2,1,33.3
ACC00202,2023-10-01 02:00,West Bengal,Expressway,Over Speeding,Hazy,Daylight,Bus,Minor,1,0,23.9
